video_game,hero,enemy,release_date,sales
Mystic Realms,Aria the Mage,Shadow Lord Vex,2023-03-15,2500000
Neon Runner,Kai Storm,Corporate Syndicate,2022-11-08,1800000
Dragon's Quest VII,Sir Aldric,Ancient Dragon Pyroth,2023-01-22,4200000
Cyber Phantom,Ghost Agent 47,AI Overlord NEXUS,2022-09-12,3100000
Starbound Odyssey,Captain Nova,Galactic Empire,2023-05-30,2900000
Forest Guardians,Elara Leafwhisper,Corrupted Treant,2022-12-03,1600000
Titanfall Heroes,Mech Pilot Zara,Rogue AI Legion,2023-02-17,3800000
Ocean's Depth,Marina Tidecaller,Kraken King,2022-08-25,2200000
Sky Pirates,Captain Jet,Admiral Blackwind,2023-04-10,2700000
Wasteland Survivor,Max Thunder,Raider Warlord,2022-10-19,3500000
Crystal Chronicles,Luna Crystalborn,Void Empress,2023-06-08,1900000
Ninja Shadows,Akira Nightblade,Master Darkfang,2022-07-14,2800000
Galactic War,Commander Rex,Alien Hive Mind,2023-01-05,4500000
Magic Academy,Wizard Ethan,Necromancer Malachar,2022-09-28,2100000
Racing Thunder,Speed Racer Rio,Boss Crimson,2023-03-25,3300000
Zombie Outbreak,Survivor Jake,Zombie Overlord,2022-11-16,2600000
Pirate's Gold,Captain Ruby,Sea Monster Leviathan,2023-05-12,2400000
Mech Warriors,Pilot Diana,Steel Tyrant,2022-12-20,3700000
Ancient Legends,Hero Orion,Titan of Chaos,2023-02-28,1700000
Future City,Cyber Detective Sam,Crime Boss Matrix,2022-08-07,3200000